resp_id,aes_canton,aes_langreg,t0sex,t0fmedu_comp,t0immig,t1bqvalids,t2bqvalids,t3bqvalids,t1wt,t2wt,t3wt,t0hisei08_3q,t0wlem_3q,t0st_nprog_req3,t1educ_class_1_r,t2educ_class_1_r,t3educ_class_1_r
1011007,14,1,2,1,1,1,0,0,.0186109047359333,,,2,2,2,6,,
1011011,10,2,1,1,3,1,1,1,4.959451464388115,5.249187303888482,4.995441822093395,3,2,3,4,6,6
1011012,4,1,1,2,1,1,1,0,1.117836618633926,1.230213765130537,,2,2,2,7,7,
1011013,11,1,1,1,1,1,1,1,9.184840278436379,9.340134868842778,13.20142828469872,1,1,3,5,5,1
1011017,5,1,1,0,1,1,1,0,4.415708647530905,3.592894793907954,,1,1,3,6,6,
1011018,17,1,1,1,1,1,1,1,9.88480408267076,9.933416719607949,11.74424256881177,1,,2,6,6,6
1011020,15,1,1,1,1,1,1,1,.6125397779872576,.6188887226419858,.5620858810110424,2,2,2,7,7,7
1011021,10,1,1,1,1,1,1,1,10.28602032454683,14.50645874338151,10.02803097422379,1,1,2,6,6,6
1011027,10,1,2,1,1,1,1,1,2.655470516143142,2.107327282588321,2.09083102470132,3,2,2,9,9,9
1011028,11,1,2,2,1,1,0,1,2.396984310651802,,6.75517797571766,2,2,2,3,,7
1011029,25,2,1,2,3,1,1,1,3.36678630065865,3.206607303267088,3.349368172590219,2,2,2,8,8,8
1011030,15,1,1,1,1,1,1,1,.6621217006361975,.7787103379138461,.7085387583707476,2,1,2,4,6,6
1011033,25,2,1,1,2,1,1,1,11.31062999226907,9.486565692931263,35.05532810279411,1,1,3,4,1,1
1011035,1,1,2,1,1,1,1,1,17.44614282113807,15.87891876214596,16.12901069740147,2,3,2,6,6,6
1011036,18,3,2,1,1,1,1,0,2.13564897172766,2.341498125064013,,1,1,3,3,6,
1011037,17,1,2,1,1,1,1,1,3.042590464508772,2.854161688368018,2.945887071832046,2,3,1,8,8,8
1011038,23,2,1,1,1,1,1,1,2.054072383196249,2.101752322406163,1.676876564223622,1,2,3,4,4,6
1011043,25,2,1,0,3,1,1,0,8.660846429853745,6.698936887086725,,1,1,2,9,9,
1011049,9,1,2,2,2,1,1,0,4.358381124897262,6.574620399330641,,2,3,1,8,8,
1011050,10,2,2,2,1,1,1,0,8.029242868409863,8.271744432679165,,2,2,2,6,6,
1011053,13,1,2,1,1,1,1,1,13.59286032123546,10.13819527357083,12.79624729900853,3,3,1,6,6,6
1011054,19,1,2,2,1,1,1,1,12.84803839839135,12.88511666284013,14.43918278618916,2,1,2,6,6,6
1011057,17,1,1,1,1,1,1,0,3.919728198556619,4.400010814293423,,2,3,2,1,6,
1011059,5,1,2,1,1,0,1,1,,20.31622012543083,7.182370102111275,3,3,2,,6,6
1011060,20,1,1,1,1,1,1,0,8.720002377147411,10.91126768845326,,1,1,3,6,6,
1011061,2,1,1,1,1,1,1,1,10.08153142821336,13.25280449600882,12.20669009993887,2,1,3,6,6,6
1011063,1,1,1,0,3,1,1,1,7.350236623599693,5.500165551569993,6.817964941145217,1,2,2,7,7,7
1011064,26,2,2,0,3,1,0,0,9.068508326529706,,,1,1,3,1,,
1011067,22,2,1,2,1,1,1,1,36.99785689164666,31.0262268295912,31.39776075891535,3,3,1,1,8,8
1011072,2,1,2,2,1,1,1,1,10.1491783623194,8.53668496345864,11.13292254247743,1,3,2,7,7,7
1011074,5,1,2,1,2,0,1,0,,76.56874657452487,,1,1,3,,6,
1011077,24,2,2,0,3,1,0,.e,16.28701455631834,,,1,1,3,4,,
1011079,23,2,2,1,1,1,1,1,3.422136694042063,3.232182859365798,3.128472794235303,,3,1,8,8,8
1011081,20,1,2,2,1,1,1,1,6.784402399284723,6.204963469278485,6.493370151157513,3,1,2,9,9,9
1011082,23,2,2,1,2,1,1,1,.6990242742060331,.5497985216288097,.7040380272813429,1,3,2,3,7,7
1011085,19,1,1,1,1,1,1,0,23.58663029668459,24.03889043103622,,2,1,2,1,6,
1011087,26,2,1,0,2,1,1,1,2.290581699814309,2.007977066488857,3.55889943703545,1,2,3,4,1,1
1011088,17,1,1,2,3,1,0,0,.0724105580636197,,,1,2,2,6,,
1011092,21,3,2,2,1,1,1,1,12.56474603233539,11.0916427709038,11.01633386583969,2,3,1,8,8,8
