aes_canton,education,w1_edu,w2_edu,w3_edu
1,GE,2.48,2.53,2.46
1,IS,1.51,0.29,0.1
1,NET,0.3,0.15,0.43
1,VET,4.36,5.69,5.66
2,GE,1.97,2.01,1.99
2,IS,1.19,0.16,0.07
2,NET,0.11,0.09,0.18
2,VET,3.03,4.02,4.04
3,GE,0.65,0.69,0.67
3,IS,0.28,0.08,0.02
3,NET,0.11,0.07,0.21
3,VET,1.43,1.63,1.56
4,GE,0.03,0.03,0.03
4,IS,0.01,0.0,0.0
4,NET,0.0,0.0,0.0
4,VET,0.13,0.13,0.13
5,GE,0.21,0.19,0.18
5,IS,0.06,0.03,0.01
5,NET,0.01,0.04,0.1
5,VET,0.56,0.58,0.56
6,GE,0.07,0.07,0.07
6,IS,0.05,0.01,0.0
6,NET,0.0,0.0,0.02
6,VET,0.17,0.22,0.21
7,GE,0.05,0.05,0.05
7,IS,0.01,0.0,0.0
7,NET,0.01,0.01,0.01
7,VET,0.18,0.19,0.19
8,GE,0.0,0.0,0.0
8,IS,0.0,0.0,0.0
8,NET,0.0,0.0,0.0
8,VET,0.17,0.17,0.17
9,GE,0.18,0.19,0.18
9,IS,0.11,0.01,0.01
9,NET,0.03,0.02,0.08
9,VET,0.35,0.46,0.4
10,GE,0.78,0.85,0.84
10,IS,0.45,0.11,0.02
10,NET,0.13,0.07,0.08
10,VET,0.88,1.21,1.3
11,GE,0.37,0.37,0.36
11,IS,0.1,0.01,0.01
11,NET,0.02,0.01,0.06
11,VET,0.86,0.95,0.92
12,GE,0.38,0.39,0.36
12,IS,0.16,0.07,0.0
12,NET,0.02,0.02,0.09
12,VET,0.19,0.27,0.29
13,GE,0.58,0.57,0.55
13,IS,0.26,0.06,0.01
13,NET,0.02,0.03,0.02
13,VET,0.72,0.92,0.99
14,GE,0.09,0.09,0.09
14,IS,0.02,0.0,0.0
14,NET,0.04,0.02,0.04
14,VET,0.23,0.26,0.25
15,GE,0.02,0.02,0.01
15,IS,0.01,0.01,0.0
15,NET,0.0,0.0,0.01
15,VET,0.08,0.09,0.09
16,GE,0.03,0.03,0.03
16,IS,0.01,0.0,0.0
16,NET,0.0,0.0,0.02
16,VET,0.26,0.27,0.25
17,GE,0.78,0.79,0.79
17,IS,0.31,0.05,0.02
17,NET,0.1,0.04,0.15
17,VET,1.77,2.07,2.0
18,GE,0.31,0.32,0.29
18,IS,0.11,0.02,0.0
18,NET,0.03,0.01,0.07
18,VET,0.57,0.67,0.66
19,GE,0.88,0.88,0.88
19,IS,0.53,0.15,0.01
19,NET,0.21,0.07,0.19
19,VET,2.8,3.31,3.34
20,GE,0.43,0.46,0.45
20,IS,0.18,0.04,0.04
20,NET,0.07,0.05,0.07
20,VET,0.97,1.1,1.07
21,GE,0.89,0.83,0.79
21,IS,0.07,0.04,0.03
21,NET,0.08,0.05,0.07
21,VET,1.01,1.13,1.16
22,GE,3.48,3.9,3.8
22,IS,1.11,0.27,0.18
22,NET,0.54,0.31,0.19
22,VET,1.4,2.04,2.35
23,GE,0.21,0.21,0.2
23,IS,0.08,0.02,0.0
23,NET,0.02,0.02,0.02
23,VET,0.21,0.26,0.28
24,GE,0.5,0.41,0.4
24,IS,0.14,0.06,0.0
24,NET,0.09,0.05,0.06
24,VET,0.43,0.64,0.7
25,GE,1.83,1.86,1.74
25,IS,0.28,0.07,0.17
25,NET,0.06,0.1,0.1
25,VET,0.56,0.69,0.71
26,GE,0.17,0.17,0.17
26,IS,0.05,0.02,0.02
26,NET,0.03,0.03,0.02
26,VET,0.2,0.23,0.24
summary,GE,17.38,17.93,17.4
summary,IS,7.1,1.6,0.75
summary,NET,2.01,1.27,2.32
summary,VET,23.52,29.2,29.53
