aes_canton,education,w1_edu,w2_edu,w3_edu
1,GE,28.7,29.3,28.4
1,IS,17.5,3.4,1.2
1,NET,3.5,1.7,5.0
1,VET,50.3,65.7,65.4
2,GE,31.3,32.0,31.7
2,IS,18.8,2.6,1.1
2,NET,1.7,1.5,2.9
2,VET,48.2,64.0,64.3
3,GE,26.3,28.1,27.2
3,IS,11.2,3.1,0.9
3,NET,4.5,2.7,8.4
3,VET,58.0,66.0,63.4
4,GE,18.5,18.5,17.5
4,IS,4.3,0.0,2.8
4,NET,0.0,0.0,0.6
4,VET,77.2,81.5,79.1
5,GE,25.2,21.9,21.6
5,IS,7.4,4.0,1.7
5,NET,0.9,5.3,11.2
5,VET,66.4,68.9,65.5
6,GE,24.6,23.9,23.0
6,IS,15.9,4.1,0.6
6,NET,1.6,0.0,7.2
6,VET,58.0,71.9,69.3
7,GE,21.4,21.4,21.6
7,IS,4.9,1.6,0.4
7,NET,2.1,2.9,3.9
7,VET,71.6,74.1,74.1
8,GE,1.6,1.7,1.4
8,IS,0.8,0.1,0.0
8,NET,0.0,0.1,0.6
8,VET,97.6,98.1,97.9
9,GE,27.6,28.0,27.7
9,IS,16.1,1.0,1.2
9,NET,3.9,2.6,11.6
9,VET,52.4,68.4,59.6
10,GE,34.9,38.0,37.4
10,IS,19.9,4.8,1.0
10,NET,5.8,3.2,3.6
10,VET,39.4,54.0,58.0
11,GE,27.3,27.5,26.5
11,IS,7.4,1.0,0.5
11,NET,1.6,1.0,4.7
11,VET,63.8,70.5,68.2
12,GE,50.2,52.3,48.5
12,IS,22.0,9.1,0.0
12,NET,2.1,2.1,12.3
12,VET,25.7,36.5,39.2
13,GE,37.0,36.0,35.2
13,IS,16.3,3.6,0.7
13,NET,1.3,2.0,1.4
13,VET,45.5,58.4,62.6
14,GE,23.2,23.7,22.7
14,IS,6.0,0.9,0.0
14,NET,10.4,6.3,10.3
14,VET,60.3,69.0,67.0
15,GE,19.9,20.2,12.3
15,IS,8.0,4.6,0.7
15,NET,2.5,1.2,9.8
15,VET,69.6,73.9,77.3
16,GE,9.1,9.1,9.1
16,IS,4.5,1.3,0.0
16,NET,0.0,0.0,8.1
16,VET,86.4,89.6,82.8
17,GE,26.4,26.9,26.6
17,IS,10.6,1.6,0.7
17,NET,3.3,1.4,5.0
17,VET,59.8,70.1,67.6
18,GE,30.4,31.6,28.4
18,IS,11.3,2.1,0.1
18,NET,2.5,0.9,6.4
18,VET,55.8,65.5,65.0
19,GE,20.0,20.0,20.0
19,IS,12.1,3.4,0.1
19,NET,4.7,1.7,4.3
19,VET,63.3,75.0,75.6
20,GE,26.3,28.0,27.5
20,IS,11.1,2.4,2.6
20,NET,4.0,2.8,4.5
20,VET,58.7,66.8,65.3
21,GE,43.3,40.3,38.5
21,IS,3.6,2.0,1.6
21,NET,4.0,2.6,3.6
21,VET,49.2,55.1,56.3
22,GE,53.3,59.8,58.2
22,IS,17.0,4.1,2.8
22,NET,8.2,4.8,3.0
22,VET,21.5,31.3,36.0
23,GE,40.2,40.1,39.8
23,IS,14.7,4.6,0.9
23,NET,4.5,4.1,4.1
23,VET,40.7,51.3,55.2
24,GE,42.7,35.5,34.3
24,IS,12.2,5.4,0.0
24,NET,7.9,4.3,5.5
24,VET,37.2,54.8,60.2
25,GE,67.2,68.3,63.9
25,IS,10.1,2.7,6.3
25,NET,2.2,3.7,3.8
25,VET,20.5,25.3,26.0
26,GE,37.3,38.4,38.1
26,IS,11.5,4.8,4.1
26,NET,6.2,5.6,3.8
26,VET,45.0,51.2,54.1
summary,GE,34.8,35.9,34.8
summary,IS,14.2,3.2,1.5
summary,NET,4.0,2.5,4.6
summary,VET,47.0,58.4,59.1
